facebook.com,173.252.120.6
youtube.com,74.125.225.168
yahoo.com,206.190.36.45
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,65.55.206.228
baidu.com,220.181.111.85
blogspot.com,173.194.77.191
microsoft.com,134.170.185.46
qq.com,125.39.240.113
taobao.com,110.75.115.70
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,220.181.124.154
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.7
mozilla.com,63.245.217.194
youku.com,119.167.145.19
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
