Proc-Type,Sched,Forks,wall,user,system,CPU,i-switched,v-switched,wait-time
CPU,SCHED_OTHER,1,9.94,5.8,4.09,0.99,2249,2,0.05
IO,SCHED_OTHER,1,0.31,0,0.01,0.03,1,198,0.3
MIX,SCHED_OTHER,1,10.56,5.89,4.61,0.99,2686,201,0.06
CPU,SCHED_FIFO,1,5.27,5.06,0.2,0.99,31,2,0.01
IO,SCHED_FIFO,1,0.35,0,0.01,0.02,1,201,0.34
MIX,SCHED_FIFO,1,5.97,5,0.94,0.99,524,202,0.03
CPU,SCHED_RR,1,5.12,4.92,0.18,0.99,40,2,0.02
IO,SCHED_RR,1,0.3,0,0,0.02,1,201,0.3
MIX,SCHED_RR,1,5.81,4.92,0.87,0.99,516,201,0.02
CPU,SCHED_OTHER,8,44.22,24.93,4.4,0.66,8311,6,14.89
IO,SCHED_OTHER,8,0.32,0,0.01,0.03,2,199,0.31
MIX,SCHED_OTHER,8,45.12,29.71,5.43,0.77,10298,2111,9.98
CPU,SCHED_FIFO,8,21.55,19.84,0.69,0.95,152,5,1.02
IO,SCHED_FIFO,8,11.01,0,0.01,0,0,198,11
MIX,SCHED_FIFO,8,35.98,24.31,2.18,0.73,571,818,9.49
CPU,SCHED_RR,8,55.99,20.23,2.36,0.4,501,5,33.4
IO,SCHED_RR,8,0.53,0,0.01,0.01,1,199,0.52
MIX,SCHED_RR,8,41.92,29.31,2.93,0.76,1246,1630,9.68
CPU,SCHED_OTHER,64,329.06,216.23,5.08,0.67,62591,44,107.75
IO,SCHED_OTHER,64,0.55,0,0,0.01,3,201,0.55
MIX,SCHED_OTHER,64,311.36,199.02,6.12,0.65,58437,13725,106.22
CPU,SCHED_FIFO,64,281.52,267.87,12.78,0.99,1817,56,0.87
IO,SCHED_FIFO,64,8.03,0,0.01,0,1,200,8.02
MIX,SCHED_FIFO,64,432.95,359.17,21.19,0.87,2912,7100,52.59
CPU,SCHED_RR,64,572.99,271.59,24.08,0.51,8615,50,277.32
IO,SCHED_RR,64,1.19,0,0.01,0.01,0,196,1.18
MIX,SCHED_RR,64,550.8,391.69,27.11,0.76,8769,12641,132
CPU,SCHED_OTHER,128,1158.33,741.7,10.1,0.64,199670,85,406.53
IO,SCHED_OTHER,128,0.78,0,0,0,1,201,0.78
MIX,SCHED_OTHER,128,679.99,420.41,6.13,0.62,117974,25864,253.45
CPU,SCHED_FIFO,128,605.77,576.12,27.58,0.99,3753,119,2.06999999999994
IO,SCHED_FIFO,128,8.04,0,0.01,0,1,198,8.03
MIX,SCHED_FIFO,128,621.95,550.06,31.18,0.93,4136,13537,40.7100000000002
CPU,SCHED_RR,128,1571.64,988.49,75.54,0.67,18290,115,507.61
IO,SCHED_RR,128,0.35,0,0.01,0.03,2,201,0.34
MIX,SCHED_RR,128,1142.99,908.44,57.49,0.84,16075,28248,177.06
